task,partition,method,dim_percent,id_dim,seed,epochs,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
mp_band_gap,bandgap_p01_3,fastfood,50,0.5,123,350,0.6618570047999697,0.6503279740259741,761.0,0.2114,2026-06-24T04:49:06+03:00,2026-06-24T05:01:47+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim050_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,50,0.5,456,350,0.5851525684192893,0.6816541558441558,750.0,0.2083,2026-06-24T06:28:29+03:00,2026-06-24T06:40:59+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim050_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,45,0.45,123,350,0.6590828258181887,0.6117386558441559,730.0,0.2028,2026-06-24T05:01:47+03:00,2026-06-24T05:13:57+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim045_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,45,0.45,456,350,0.57313079067535,0.7087705324675324,734.0,0.2039,2026-06-24T06:40:59+03:00,2026-06-24T06:53:13+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim045_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,20,0.2,123,350,0.6768872027737984,0.7206857467532467,741.0,0.2058,2026-06-24T05:13:57+03:00,2026-06-24T05:26:18+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim020_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,20,0.2,456,350,0.6159331008748268,0.7612332792207792,755.0,0.2097,2026-06-24T06:53:13+03:00,2026-06-24T07:05:48+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim020_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,10,0.1,123,350,0.6757138026428606,0.7217662987012987,736.0,0.2044,2026-06-24T05:26:18+03:00,2026-06-24T05:38:34+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim010_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,10,0.1,456,350,0.6110513982494012,0.7512808506493506,750.0,0.2083,2026-06-24T07:05:48+03:00,2026-06-24T07:18:18+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim010_seed456_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,5,0.05,123,350,0.6690063811825553,0.6524789935064935,753.0,0.2092,2026-06-24T05:38:34+03:00,2026-06-24T05:51:07+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim005_seed123_epochs350_predictions.csv
mp_band_gap,bandgap_p01_3,fastfood,5,0.05,456,350,0.6161037923957338,0.8455301883116882,741.0,0.2058,2026-06-24T07:18:18+03:00,2026-06-24T07:30:39+03:00,bandgap_p01_3/predictions/bandgap_fastfood_bandgap_p01_3_dim005_seed456_epochs350_predictions.csv
